ticket_id,created_date,priority,category,department,resolution_hours,sla_breached,assigned_team,satisfaction_score,reopen_count
TKT-0129,2023-12-03,Low,Network,Sales,29.6,0,Team-B,3.1,0
TKT-0130,2023-10-25,Medium,Email,HR,9.1,0,Team-D,4.0,1
TKT-0131,2023-10-27,High,Other,Sales,58.2,1,Team-B,1.8,2
TKT-0132,2023-07-29,High,Software,Operations,15.8,0,Team-A,2.8,0
TKT-0133,2023-12-16,Low,Hardware,HR,23.1,0,Team-B,3.3,0
TKT-0134,2023-11-07,Low,Network,Marketing,2.0,0,Team-A,4.9,0
TKT-0135,2023-12-25,High,Software,Marketing,40.0,1,Team-A,1.8,0
TKT-0136,2023-05-11,Medium,Software,Engineering,1.1,0,Team-B,4.9,0
TKT-0137,2023-11-26,High,Access,Engineering,31.9,1,Team-C,1.8,1
TKT-0138,2023-06-20,Low,Other,Sales,34.2,0,Team-A,3.2,1
TKT-0139,2023-10-08,Medium,Other,HR,25.7,0,Team-D,3.8,0
TKT-0140,2023-11-25,Medium,Hardware,Engineering,13.6,0,Team-D,3.3,0
TKT-0141,2023-11-29,Medium,Hardware,Operations,8.4,0,Team-D,2.7,1
TKT-0142,2023-12-18,Medium,Email,HR,53.1,0,Team-C,2.8,0
TKT-0143,2023-10-20,High,Hardware,Engineering,63.2,1,Team-A,3.4,2
TKT-0144,2023-04-12,Medium,Software,Marketing,65.3,0,Team-B,4.9,0
TKT-0145,2023-03-29,Medium,Email,Engineering,11.2,0,Team-A,4.9,1
TKT-0146,2023-03-02,Low,Hardware,Marketing,32.9,0,Team-B,4.0,0
TKT-0147,2023-03-08,Low,Access,Finance,21.1,0,Team-B,3.5,3
TKT-0148,2023-03-16,Medium,Network,HR,30.4,0,Team-C,3.2,0
TKT-0149,2023-02-13,High,Network,Sales,42.2,1,Team-B,2.6,1
TKT-0150,2023-08-05,Medium,Other,Operations,15.7,0,Team-C,3.2,0
TKT-0151,2023-07-01,High,Email,Marketing,67.1,1,Team-A,2.2,0
TKT-0152,2023-03-09,Medium,Email,Engineering,70.4,0,Team-B,4.0,0
TKT-0153,2023-06-12,Low,Other,Operations,63.3,0,Team-D,2.4,0
TKT-0154,2023-07-04,Critical,Access,HR,7.0,1,Team-C,3.1,0
TKT-0155,2023-06-11,Medium,Other,Sales,22.9,0,Team-B,4.7,0
TKT-0156,2023-01-28,Medium,Hardware,Finance,32.0,0,Team-A,2.6,0
TKT-0157,2023-09-11,Medium,Network,Sales,8.8,0,Team-C,4.7,3
TKT-0158,2023-03-17,Medium,Network,HR,8.5,0,Team-A,4.2,0
TKT-0159,2023-10-16,Low,Other,Operations,54.1,0,Team-B,4.5,0
TKT-0160,2023-02-09,Medium,Hardware,Sales,41.3,0,Team-A,,1
TKT-0161,2023-10-30,Medium,Network,HR,49.2,0,Team-B,3.2,0
TKT-0162,2023-05-18,Medium,Email,Marketing,34.8,0,Team-A,,0
TKT-0163,2023-10-19,Medium,Hardware,Finance,32.9,0,Team-A,4.8,1
TKT-0164,2023-11-05,Low,Access,Engineering,53.7,0,Team-D,3.6,0
TKT-0165,2023-04-17,Low,Hardware,Sales,29.0,0,Team-D,2.1,0
TKT-0166,2023-08-10,Medium,Other,HR,9.1,0,Team-B,3.5,0
TKT-0167,2023-07-18,Medium,Access,HR,14.8,0,Team-D,3.3,0
TKT-0168,2023-02-17,Medium,Network,Operations,13.8,0,Team-C,3.9,2
TKT-0169,2023-09-27,Medium,Other,Marketing,51.5,0,Team-A,4.8,0
TKT-0170,2023-03-07,Low,Other,HR,34.6,0,Team-B,2.4,0
TKT-0171,2023-08-06,Critical,Access,Engineering,0.8,0,Team-D,2.3,0
TKT-0172,2023-09-15,Medium,Network,Engineering,18.7,0,Team-D,2.2,0
TKT-0173,2023-06-02,Medium,Software,Operations,6.5,0,Team-D,4.6,1
TKT-0174,2023-04-06,Low,Hardware,Finance,24.9,0,Team-A,4.8,1
TKT-0175,2023-01-03,Low,Access,Engineering,8.1,0,Team-A,3.6,0
TKT-0176,2023-11-05,Medium,Other,Sales,62.6,0,Team-C,4.9,0
TKT-0177,2023-07-22,Medium,Software,Engineering,48.7,0,Team-B,4.1,0
TKT-0178,2023-01-14,Low,Hardware,Sales,50.3,0,Team-B,2.6,0
TKT-0179,2023-06-04,Medium,Access,Finance,57.0,0,Team-D,2.6,0
TKT-0180,2023-09-06,Low,Access,Engineering,53.3,0,Team-D,3.3,0
TKT-0181,2023-01-05,Medium,Network,Marketing,60.1,0,Team-D,2.2,2
TKT-0182,2023-05-29,Medium,Network,Sales,43.1,0,Team-D,3.7,0
TKT-0183,2023-09-07,Medium,Hardware,Marketing,49.0,0,Team-A,4.5,0
TKT-0184,2023-08-02,Medium,Access,Engineering,5.0,0,Team-D,4.7,0
TKT-0185,2023-04-09,Medium,Access,HR,31.7,0,Team-D,2.5,0
TKT-0186,2023-12-03,Low,Access,Finance,24.7,0,Team-C,3.8,1
TKT-0187,2023-07-04,Medium,Access,Finance,67.8,0,Team-B,4.0,0
TKT-0188,2023-11-07,Medium,Access,Engineering,9.7,0,Team-D,2.6,2
TKT-0189,2023-07-03,High,Software,HR,40.3,1,Team-B,3.5,0
TKT-0190,2023-02-28,Medium,Email,Finance,58.2,0,Team-A,3.0,0
TKT-0191,2023-10-13,Low,Software,Finance,56.6,0,Team-A,4.3,1
TKT-0192,2023-02-26,Medium,Network,Operations,33.2,0,Team-A,,1
TKT-0193,2023-07-05,High,Hardware,Marketing,45.5,1,Team-C,3.2,1
TKT-0194,2023-07-06,Medium,Software,Finance,62.7,0,Team-A,2.5,1
TKT-0195,2023-08-31,Medium,Software,HR,55.5,0,Team-B,2.7,0
TKT-0196,2023-03-19,Low,Email,Sales,26.3,0,Team-B,4.0,0
TKT-0197,2023-09-22,Low,Other,HR,64.7,0,Team-A,4.9,0
TKT-0198,2023-06-23,Medium,Software,Sales,37.5,0,Team-B,2.2,0
TKT-0199,2023-11-20,Critical,Other,Marketing,1.6,0,Team-C,3.7,0
TKT-0200,2023-06-10,Medium,Software,Engineering,63.0,0,Team-C,4.2,2
TKT-0201,2023-10-06,High,Email,Operations,29.4,1,Team-D,2.6,0
TKT-0202,2023-06-04,Low,Network,Engineering,29.4,0,Team-C,2.6,0
TKT-0203,2023-04-20,Low,Network,Operations,37.7,0,Team-C,3.6,0
TKT-0204,2023-10-31,High,Software,Finance,2.5,0,Team-C,4.4,1
TKT-0205,2023-11-18,High,Email,HR,4.8,0,Team-A,3.1,0
TKT-0206,2023-08-21,High,Software,Finance,21.8,0,Team-B,4.2,0
TKT-0207,2023-07-13,Low,Email,Marketing,51.6,0,Team-B,4.0,0
TKT-0208,2023-03-17,High,Other,Sales,56.2,1,Team-D,2.1,0
TKT-0209,2023-07-09,Low,Other,Operations,34.6,0,Team-D,3.3,0
TKT-0210,2023-08-05,Medium,Access,Marketing,19.4,0,Team-D,3.5,1
TKT-0211,2023-08-23,High,Hardware,Marketing,36.7,1,Team-A,2.2,0
TKT-0212,2023-03-02,Critical,Email,Sales,4.7,1,Team-A,3.3,0
TKT-0213,2023-06-05,Critical,Software,Sales,3.3,0,Team-A,5.0,1
TKT-0214,2023-05-26,Medium,Hardware,Finance,4.0,0,Team-D,4.7,0
TKT-0215,2023-06-08,High,Email,Sales,3.7,0,Team-C,3.4,1
TKT-0216,2023-09-16,Medium,Other,Sales,43.8,0,Team-D,4.3,0
TKT-0217,2023-11-16,Medium,Access,Sales,6.9,0,Team-B,3.9,2
TKT-0218,2023-02-15,Critical,Hardware,Marketing,3.8,0,Team-A,2.8,0
TKT-0219,2023-10-14,Medium,Network,Finance,40.6,0,Team-A,2.4,2
TKT-0220,2023-12-04,Low,Email,Finance,36.4,0,Team-A,2.1,0
TKT-0221,2023-02-13,Low,Email,Operations,60.5,0,Team-C,,0
TKT-0222,2023-08-01,Low,Network,Operations,2.2,0,Team-C,3.3,0
TKT-0223,2023-04-04,Low,Software,Engineering,39.2,0,Team-B,2.9,0
TKT-0224,2023-01-14,High,Other,Engineering,44.4,1,Team-C,1.8,0
TKT-0225,2023-03-03,Medium,Network,Finance,23.7,0,Team-B,3.1,1
TKT-0226,2023-02-28,Medium,Software,Engineering,54.3,0,Team-C,3.2,0
TKT-0227,2023-01-10,Medium,Software,Operations,29.6,0,Team-A,2.7,0
TKT-0228,2023-02-12,Low,Other,Operations,22.3,0,Team-B,3.2,1
TKT-0229,2023-08-05,Medium,Email,Sales,12.5,0,Team-A,2.7,0
TKT-0230,2023-01-01,Low,Network,Sales,21.2,0,Team-C,4.9,0
TKT-0231,2023-10-27,Medium,Email,HR,25.6,0,Team-A,3.9,0
TKT-0232,2023-03-13,High,Other,Operations,6.9,0,Team-C,4.1,1
TKT-0233,2023-06-25,Medium,Other,HR,57.8,0,Team-D,4.7,0
TKT-0234,2023-06-18,Medium,Network,Marketing,15.6,0,Team-B,,0
TKT-0235,2023-07-31,Medium,Email,Marketing,65.0,0,Team-D,4.0,1
TKT-0236,2023-01-16,Low,Other,Sales,46.9,0,Team-A,2.2,0
TKT-0237,2023-12-23,Low,Network,Engineering,26.1,0,Team-D,2.5,0
TKT-0238,2023-12-30,Critical,Software,Finance,6.2,1,Team-A,2.7,1
TKT-0239,2023-07-05,Low,Network,HR,16.3,0,Team-D,4.9,2
TKT-0240,2023-07-22,High,Network,HR,14.5,0,Team-D,4.5,0
TKT-0241,2023-03-31,Medium,Network,Operations,48.6,0,Team-B,3.8,1
TKT-0242,2023-05-21,Low,Hardware,Marketing,61.7,0,Team-A,4.6,3
TKT-0243,2023-08-21,Medium,Network,Sales,18.6,0,Team-A,3.7,1
TKT-0244,2023-09-23,Low,Access,Sales,29.6,0,Team-C,,0
TKT-0245,2023-09-30,Medium,Access,HR,3.9,0,Team-A,4.8,0
TKT-0246,2023-04-26,Low,Other,Sales,58.2,0,Team-A,5.0,2
TKT-0247,2023-01-15,Medium,Access,Sales,5.0,0,Team-A,3.9,0
TKT-0248,2023-05-03,Medium,Software,Engineering,18.4,0,Team-C,2.3,0
TKT-0249,2023-02-18,High,Other,Sales,43.4,1,Team-A,2.1,0
TKT-0250,2023-03-07,Critical,Network,Sales,6.9,1,Team-A,1.2,0
TKT-0251,2023-05-31,High,Access,Sales,48.9,1,Team-A,2.4,0
TKT-0252,2023-08-21,Low,Access,Sales,56.8,0,Team-D,3.9,1
TKT-0253,2023-08-21,Medium,Email,HR,67.5,0,Team-B,,0
TKT-0254,2023-10-21,Medium,Hardware,Marketing,42.9,0,Team-C,4.5,0
TKT-0255,2023-01-23,Medium,Network,Finance,13.8,0,Team-C,2.4,0
TKT-0256,2023-10-05,Medium,Hardware,Finance,26.1,0,Team-D,3.8,0
TKT-0257,2023-12-14,Medium,Hardware,Engineering,1.1,0,Team-B,3.8,0
TKT-0258,2023-04-13,Low,Other,Finance,30.7,0,Team-A,2.6,0
TKT-0259,2023-06-19,Medium,Email,Operations,70.7,0,Team-C,3.8,0
TKT-0260,2023-01-22,High,Access,Finance,33.0,1,Team-A,3.0,0
TKT-0261,2023-06-19,Medium,Other,Sales,15.7,0,Team-B,3.4,0
TKT-0262,2023-03-14,Critical,Software,Sales,3.2,0,Team-B,3.7,0
TKT-0263,2023-05-26,Medium,Hardware,Finance,70.2,0,Team-C,2.6,1
TKT-0264,2023-05-15,Medium,Network,Engineering,13.3,0,Team-B,2.1,0
TKT-0265,2023-05-03,High,Software,HR,67.4,1,Team-B,1.8,2
TKT-0266,2023-02-03,Low,Network,Finance,63.5,0,Team-B,4.6,1
TKT-0267,2023-11-22,Medium,Hardware,Engineering,27.3,0,Team-B,3.8,1
TKT-0268,2023-05-24,High,Hardware,Operations,18.2,0,Team-D,3.9,0
TKT-0269,2023-09-18,Medium,Access,Marketing,47.9,0,Team-C,2.2,0
TKT-0270,2023-09-11,Medium,Access,HR,27.2,0,Team-D,4.1,0
TKT-0271,2023-08-20,Medium,Hardware,Sales,15.3,0,Team-B,4.7,0
TKT-0272,2023-10-09,Medium,Network,Finance,67.4,0,Team-A,3.1,0
TKT-0273,2023-06-22,High,Access,Sales,3.4,0,Team-D,3.5,0
TKT-0274,2023-08-15,Medium,Hardware,HR,20.0,0,Team-A,2.1,0
TKT-0275,2023-05-22,Low,Hardware,Engineering,37.2,0,Team-A,,0
TKT-0276,2023-06-04,High,Other,Marketing,14.6,0,Team-C,3.0,0
TKT-0277,2023-10-06,High,Software,Engineering,61.6,1,Team-C,2.8,0
TKT-0278,2023-12-02,Low,Network,Sales,68.1,0,Team-B,4.5,1
TKT-0279,2023-10-28,Medium,Email,Sales,15.5,0,Team-D,2.7,0
TKT-0280,2023-08-02,Low,Hardware,Sales,31.2,0,Team-D,,1
TKT-0281,2023-01-05,High,Access,Marketing,63.0,1,Team-C,1.8,0
TKT-0282,2023-10-03,Medium,Software,HR,29.3,0,Team-A,,0
TKT-0283,2023-10-18,High,Other,Operations,70.4,1,Team-D,3.5,3
TKT-0284,2023-02-25,Medium,Software,Operations,38.7,0,Team-D,2.6,0
TKT-0285,2023-12-19,High,Email,Sales,48.8,1,Team-A,1.4,0
TKT-0286,2023-12-04,Low,Email,Engineering,20.8,0,Team-D,2.7,0
TKT-0287,2023-03-22,High,Network,Finance,62.0,1,Team-D,2.0,0
TKT-0288,2023-04-16,Low,Software,Sales,62.4,0,Team-D,2.4,0
TKT-0289,2023-08-23,Medium,Software,Finance,15.0,0,Team-A,4.2,3
TKT-0290,2023-06-18,Low,Email,Sales,43.7,0,Team-D,,0
TKT-0291,2023-06-27,High,Other,Marketing,46.7,1,Team-C,3.3,0
TKT-0292,2023-11-13,Low,Other,Sales,30.2,0,Team-D,2.5,0
TKT-0293,2023-01-23,Medium,Hardware,Finance,7.3,0,Team-C,4.1,1
TKT-0294,2023-04-22,Medium,Access,Sales,5.3,0,Team-A,4.2,3
TKT-0295,2023-08-19,High,Hardware,HR,55.3,1,Team-B,1.8,0
TKT-0296,2023-07-15,High,Software,Marketing,50.2,1,Team-D,2.9,1
TKT-0297,2023-08-26,Critical,Access,Sales,7.4,1,Team-A,1.8,0
TKT-0298,2023-05-23,Medium,Hardware,Finance,31.8,0,Team-A,3.4,0
TKT-0299,2023-12-10,High,Network,Marketing,53.5,1,Team-C,1.4,0
TKT-0300,2023-04-21,High,Access,Marketing,3.0,0,Team-A,4.0,1
TKT-0301,2023-07-19,Medium,Other,HR,51.7,0,Team-D,,0
TKT-0302,2023-07-11,Low,Hardware,Finance,55.3,0,Team-A,,0
TKT-0303,2023-02-19,Critical,Other,Finance,5.6,1,Team-B,1.2,0
TKT-0304,2023-11-16,Low,Hardware,Operations,23.6,0,Team-D,3.9,2
TKT-0305,2023-07-25,High,Other,HR,26.0,1,Team-A,1.4,0
TKT-0306,2023-07-08,High,Network,Engineering,58.8,1,Team-B,2.6,0
TKT-0307,2023-10-19,Medium,Hardware,HR,71.3,0,Team-A,4.1,0
TKT-0308,2023-12-22,Medium,Hardware,HR,49.0,0,Team-B,4.9,0
TKT-0309,2023-06-21,Medium,Network,Operations,61.4,0,Team-D,3.4,0
TKT-0310,2023-04-30,High,Network,Operations,42.5,1,Team-A,3.5,0
TKT-0311,2023-07-11,Low,Access,HR,44.8,0,Team-B,2.2,0
TKT-0312,2023-06-18,Critical,Hardware,HR,5.0,1,Team-C,3.4,0
TKT-0313,2023-05-28,Medium,Network,Finance,70.4,0,Team-C,3.9,0
TKT-0314,2023-12-18,High,Other,Marketing,66.1,1,Team-B,3.5,0
TKT-0315,2023-09-09,Medium,Network,Finance,32.1,0,Team-A,2.0,0
TKT-0316,2023-04-15,High,Hardware,Operations,7.1,0,Team-A,3.8,0
TKT-0317,2023-11-07,High,Hardware,HR,14.6,0,Team-C,3.3,0
TKT-0318,2023-07-04,High,Access,Sales,62.2,1,Team-B,2.2,0
TKT-0319,2023-09-04,Medium,Network,Sales,31.5,0,Team-D,2.5,1
TKT-0320,2023-03-31,Low,Software,Sales,43.1,0,Team-D,2.5,0
TKT-0321,2023-08-29,Medium,Hardware,Finance,34.9,0,Team-B,3.0,0
TKT-0322,2023-08-01,Medium,Access,Marketing,27.3,0,Team-C,3.2,0
TKT-0323,2023-03-05,Low,Access,Operations,5.6,0,Team-B,4.7,0
TKT-0324,2023-09-18,Medium,Other,Sales,65.8,0,Team-C,4.2,0
TKT-0325,2023-01-18,Low,Software,Marketing,53.1,0,Team-A,2.7,0
TKT-0326,2023-05-11,Medium,Hardware,Operations,33.1,0,Team-B,4.0,0
TKT-0327,2023-10-28,Medium,Network,Operations,66.1,0,Team-B,3.2,1
TKT-0328,2023-09-30,Medium,Other,Sales,50.0,0,Team-C,3.5,1
TKT-0329,2023-10-21,Low,Software,Finance,62.7,0,Team-C,2.3,1
TKT-0330,2023-09-09,Medium,Network,Engineering,22.5,0,Team-A,5.0,1
TKT-0331,2023-04-01,Medium,Software,Finance,21.1,0,Team-B,3.3,0
TKT-0332,2023-04-06,Low,Hardware,Engineering,32.7,0,Team-B,4.4,1
TKT-0333,2023-11-16,Low,Network,Marketing,62.8,0,Team-B,3.3,0
